text,title,sentiment
RT @SamMaitland101: @ScottMorrisonMP why is this so? Why are #covid positive people arriving here from o'seas. This is your responsibility…,T,N
"https://t.co/xnVJVO9x9G: [VIDEO] Market Close: The Australian sharemarket #ASX200 fell for a second straight session on Monday driven by concerns relating to the new #COVID variant, ‘Omicron’., O, N
https://t.co/lgpvXPm5nc",O,L
"RT @USMortality: In the last 13 weeks alone ~107,700 seniors have died above normal rate. Despite 98.7% vaccination rate., I, N

#Covid #Covid19…",O,L
"Omicron sounds like an Evil Transformer! Definitely a Decepticon., V, N

#Transformers #Omicron #Decepticon #CoronaVirus #Variant #NSWHealth #Covid #Covid19 #MoreThanMeetsTheEye https://t.co/y4oKVbl4Ms",V,N
"RT @mid_day: Long ailing hero, Rozy Saldhana along with her husband, sold her jewellery and raised funds to help people during the second w…",C,P
RT @TimesNow: #Uttarakhand makes #COVID-19 test mandatory for people coming from other states amid #Omicron concerns. | #CovidVariantAlarm…,V,L
"RT @justine_nolan: Blackmail is many things but asking for transparency on #vaccination status is not one of them #covid #sport, N, N
https://t.…",O,L
RT @rhevanth95: Isn't it wise to be pro active and close International borders before it gets too late ! India will find it really hard to…,T,N
"The Philippines has placed 14 countries in Europe and Africa on its “red list” from November 28 to December 15 as a border control measure to minimize the potential entry of #omicron, a new #COVID-19 variant, into the country., T, N

https://t.co/JsU29ML8JU",O,L
"With more than 50 mutations, including over 30 to the spike protein, there are concerns #Omicron could reduce the efficacy of existing #COVID vaccines. So how are companies responding?, V, N
https://t.co/WDmOzNOnwL",O,L
"#Uttarakhand makes #COVID-19 test mandatory for people coming from other states amid #Omicron concerns. | #CovidVariantAlarm, M, N

https://t.co/mwShzhp5mC",O,L
7 Day US Covid Confirmed Cases by County  For KY   2021-11-26:  Covid Insights From Our Analytics Team and USAFacts #datavisualization #datascience #analytics #health #data #covid19 #publichealth #covid #globalhealth https://t.co/rGIttv1Ig8,C,L
What say You? #Omicron #SouthAfrica #TravelBan #Biden #Covid #Coronavirus #Pandemic #InTheShed #WesAnderson #Tools #Politics #Sports #Paranormal #News #Podcasts #Spotify #YouTube #ApplePodcasts #Stitcher #iHeartRadio https://t.co/3XdxrnqdqN,O,L
RNS - Vox Markets #GDR - The Future Is #covid diagnostics ⁦@genedriveplc⁩ 🌍🧪 https://t.co/Tx6UTcvGnh,M,L
"Philippines starts three-day, nine million person COVID jab drive | Coronavirus pandemic News #englishheadline #Philippines #starts #threeday #million #person #COVID #jab #drive #Coronavirus #pandemic #News https://t.co/SFhHaJboVl",N,L
"DeFi Protocol Omicron’s Token Jumps 10-Fold After Namesake Covid Variant Emerges, V, L
https://t.co/SwJS5DTh5Z, O, L
#bitcoin #covid #crypto #decentralization #DeFi https://t.co/cVnsXQ5ZXI",O,L
"RT @CGasparino: Ive never been a #covid denier and Im triple vaxxed, but it is scary that just a whiff of a new variant without any evidenc…",N,N
"RT @EconomicTimes: Surveillance for #Covid being done here. #Omicron has accumulated over 30 #mutations, 26 of which are unique in the spik…",V,L
"RT @TimesNow: #SouthAfrica returnee tests positive for #Covid in #Maharashtra. Sample sent to check for new strain., V, L

Radhika with more deta…",O,L
RT @CommSec: [VIDEO] Market Close: The Australian sharemarket #ASX200 fell for a second straight session on Monday driven by concerns relat…,O,L
"Solomon Islands province 'not happy' at Australian police presence - political aide 

#news, #breakingnews, #topnews, #today, #todaynews, #reuters, #europe, #americas, #middleeast, #asia, #africa, #politics, #latest, #covid, #BreakingHeadlines,

https://t.co/4dFJYhm9vV",O,L
"#Covid concentration camps for Australians; it’s happening
@jonrappoport 
https://t.co/vwuoHdjn2z

#PLANdemic  #Event201  #MedicalMartialLaw",O,L
"RT @fredshesaid1: A detailed description of how you die from #covid in the ICU

Please #antivaxxers read this and get your #vaccination #va…",I,N
"""#Omicron #variant: #G7 to hold emergency #Covid meeting as #Japan closes its borders""  https://t.co/gKrQPFcju4 #pandemic #Covid19",T,N
"RT @airnewsalerts: Govt says over 137 crore vaccine doses provided to States, UTs so far through Centre's free of cost channel &amp; direct sta…",N,L
What do you think the chances are of another lockdown in the UK before #Christmas Opinions please #Opinions #Lockdown #covid #COVID19 #covidvariant #Sex #Boobs #AvengersAssemble #BBC #ITV #BBCNews #ITVNews,T,L
RT @MikeHarrisssss: To those religious nut jobs that would see #COVID run rampant in our vulnerable communities: if #vaccinatedbythelord is…,C,N
RT @DaisyCousens: What is this unscientific babble from this pearl-clutching germaphobe? Is she high?! #OmicronVariant #Covid_19 #covid,O,N
"RT @Jpana75: Victorian businesses can be fined anywhere from $11,000 for not having a #covid safe plan to $100,000 for employing unvaccinat…",N,L
"RT @VCSTX: #COVID: New variant #Omicron B.1.1.529 has a large number of mutations, some concerning, says WHO. 

Potential increased risk of…",V,L
"Last year I broke covid rules/restrictions and had my mum over for Christmas. 

We ate, laughed, bickered and loved.

3 weeks later she died in the same front room we had opened presents in.

Don't lock us down again.

#covidvariant #covid #coronavirus #4thWave #OmicronVariant",M,L
RT @njoyflyfishing: 7 Day US Covid Confirmed Cases by County  For KS   2021-11-26:  Covid Insights From Our Analytics Team and USAFacts #da…,C,L
"RT @VamsiChandReddy: Smt #SoniaGandhi and Shri #RahulGandhi with #Congress MPs in the #Parliament.

Shri @RahulGandhi to lead the fight aga…",O,L
7 Day US Covid Confirmed Cases by County  For KY   2021-11-26:  Covid Insights From Our Analytics Team and USAFacts #datavisualization #datascience #analytics #health #data #covid19 #publichealth #covid #globalhealth https://t.co/ziuYrJyjXK,C,L
"RT @VCSTX: We must open our windows ASAP

While keeping your distance, wearing a mask &amp; getting vaccinated have provided protection against…",O,L
"[VIDEO] Market Close: The Australian sharemarket #ASX200 fell for a second straight session on Monday driven by concerns relating to the new #COVID variant, ‘Omicron’. 
https://t.co/Tv8c7LqmhB",O,L
RT @tmprowell: The 1st double lung transplant for a patient with lungs destroyed by #COVID19 (see pic ⬇️) was 1.5y ago. Now 1 in 10 🇺🇸 lung…,I,P
"RT @VCSTX: #COVID is airborne, says #ECDC 👇🏼 We need to avoid inhaling #aerosols suspended in air, which accumulate in poorly ventilated sp…",M,L
RT @MarcusFysh: What we should not “learn to live with” is the Labour unions telling us how to live our lives. Socialists and other purveyo…,O,L
"RT @VCSTX: Drugmakers race to test upgraded #vaccines, #antibodies and #antivirals against new #Omicron #coronavirus variant. 

Omicron #va…",V,P
RT @mygovindia: The fight against #COVID-19 is far from over! Let’s pledge to wear a mask and maintain social distancing while we step out…,M,N
RT @njoyflyfishing: 7 Day US Covid Confirmed Cases by County  For IA   2021-11-26:  Covid Insights From Our Analytics Team and USAFacts #da…,C,L
"Travel Ad spends - A thread
Will it bounce back or remain laggard as we see a new covid variant!!!!!

Only time will tell - some data though 
India to lead recovery with 31% growth in travel ad spend between 2019 and 2023

#travel #covidvariant #advertising #Covid #TravelBan",T,L
"RT @VCSTX: Wear a well fitted mask, avoid gatherings, ventilate rooms … because #COVID is airborne : 

it is transmitted via #aerosols so w…",M,L
"RT @Protect_BC: Announcing #PoPBC’s Briefing #5!

URGENT ACTION: #BC can’t afford another #COVID wave.

-Hospital staff exhausted
-#Omicron…",O,L
"RT @SnehaSi48880629: #JEEAdvancedOnceMore
Dear Education Minister 
@dpradhanbjp
 students demand an extra attempt in 2022. They say financi…",O,L
"RT @VCSTX: #COVID in #children can lead to #neurological complications: 

cerebrovascular accidents, reversible splenial lesions, GuillainB…",I,N
"US may face fifth Covid wave: Fauci on Omicron variant

#AnthonyFauci #US #OmicronVariant #CoronaWave #CovidWave #OmicronVariant #CoronaVariant #CovidVariant #Coronavirus #COVID19 #Corona #Covid #YesPunjab

https://t.co/R84zVZNCyo",V,L
"RT @hollieahughes: We must not overreact to the new Omicron COVID variant. Australian businesses and families have suffered enough. 

No mo…",O,N
7 Day US Covid Confirmed Cases by County  For KS   2021-11-26:  Covid Insights From Our Analytics Team and USAFacts #datavisualization #datascience #analytics #health #data #covid19 #publichealth #covid #globalhealth https://t.co/Y9YbwgFDlN,C,L
"RT @VCSTX: 👇🏼 we all need to wear WELL FITTING masks, says WHO. 
That is, #FFP2 #facemasks /#respirators or superior. 

Cloth masks &amp; surgi…",M,L
RT @njoyflyfishing: 7 Day US Covid Confirmed Cases by County  For IN   2021-11-26:  Covid Insights From Our Analytics Team and USAFacts #da…,C,L
"RT @scalper432: Shorts covering squeeze up to 104.03 
#USDJPY $jpy #covidvariant #COVID19 #Covid #fx",O,L
"RT @Supriya23bh: Leader of Opposition Rajya Sabha Mr Mallikarjun @kharge : 

#FarmLaws is the main issue 

₹ 4 lakh Compensation for #Covid…",O,L
"CLICK, SID, GoS, urges you to protect yourself from the COVID-19. Let's Stop the Spread and make our country Virus-free.  
#Stayhomestaysafe #virusfree #Karachi #government #COVID #omicorn #pakistantoo #investment  #protectyourself #getvaccinated  #khaleejtimes #karachiupdates https://t.co/RwyLRx7tf0",O,L
Covid-19 Gave Me Another Reason To Pursue My Dream More Than Ever! Learn More 👉🏻  https://t.co/TtzTuPyKIN #gofundme #covid #dream #risemoney #vote,O,P
"RT @taiwanplusnews: #Omicron, the newly discovered variant of #COVID-19, is reversing a much anticipated opening up of countries around the…",V,L
"Experts say that as African governments continue to wrestle with #COVID-19 economic shocks and chart a course to recovery, opportunities abound for new directions, partnerships and policy reforms - https://t.co/DWd5jOTbNg",E,N
RT @vizagcovidinfo: First photo of #Omicron variant of #COVID-19 produced https://t.co/R7vdi5UAAS,V,L
Here’s a question: can leaders of wealthy countries persuade enough people in poorer countries to accept vaccination so it makes sense to immediately send them the supply said wealthy nations have purchased for 3rd shots? #COVID,N,L
"Things you need to know about the different Covid 19 variants.

Read here: https://t.co/F5s5PGLnLd

#DOCSUNReports
#COVID
#mhealth",V,L
"#Covid-19 travel rules for #Heathrow passengers explained

#rdguk 

https://t.co/AaE5raXtYT",T,L
"On Day 2 of our #PosadaJourney, we pray for those suffering as a result of the pandemic.
#Advent #Pandemic #Covid #Suffering #Care #GodWithUs #Emmanuel https://t.co/A2JKZxmDYV",O,L
"#Bengaluru: Resident #Doctors go on strike as #Karnataka Govt fails to pay #Covid risk allowance (Rs 10,000 per month) for the last six months. 

@mla_sudhakar - Why treat doctors so badly? 

@NammaBengaluroo @WFRising @Namma_ORRCA @WeAreBangalore @TOIBengaluru https://t.co/BwVCVOpZFp",O,N
"Syringe Shortages Threatens to Disrupt COVID-19 Vaccination in Africa
https://t.co/s2SYOZqqXU
#COVID19Pandemic #CovidVaccine #COVIDAfrica #pharmatimes #coronavirus #COVID-19 https://t.co/klUrf9hXg3",N,N
RT @DavidColtart: #Zimbabwe again recorded zero deaths yesterday from #Covid . However we are banned from flying to Europe and most of the…,T,N
RT @mackyson: And here it is folks. The official word because they dgaf now or ever about us and are saying it out loud. #Covid,L,L
"RT @chinesejimi: #Covid #CovidHoax

Shut off your TV and research truth, you are being lied to

https://t.co/45EZduTQv1 https://t.co/76m6OK…",O,N
"@porushh #dell #laptop #latitude7410 #motherboard #covid 

Four motherboards  damaged during two month, what agreat tool to consider it through pandemic!.",O,L
RT @PoliticsPollss: Fines of £200 will be handed out to people in England who fail to wear masks on public transport and in shops from Tues…,M,N
"Gold Climbs, Driven by Omicron Concerns
#Gold #Silver #Omicron #Investing #naturaldeposit #COVID https://t.co/gM51z7qduU",V,L
7 Day US Covid Confirmed Cases by County  For KS   2021-11-26:  Covid Insights From Our Analytics Team and USAFacts #datavisualization #datascience #analytics #health #data #covid19 #publichealth #covid #globalhealth https://t.co/Xdi8ulWcJ3,C,L
"#DakshinaKannada to resume #Covid testing at #Talapady #checkpost 
https://t.co/jAUX2sgsM0",M,L
"@ZDNet #dell #laptop #latitude7410 #motherboard #covid 

Four motherboards  damaged during two month, what agreat tool to consider it through pandemic!.",O,L
"OVER 40% OF DEMOCRAPS THOUGHT THAT IF YOU GOT COVID ONLY 50% WOULD END UP IN THE HOSPITAL!

#DEMOCRAPS ,#Democrats,#covid,#percentage,#hospital
https://t.co/qBOPTTOoP3",I,N
"RT @Angel7817802164: #MandatoryVaccination
Read.. the New Variant was found on FULLY VACCINATED PEOPLE
#GetVaccinatedNow 
#COVID 
#COVIDIOT…",N,L
RT @libdemdaisy: New govt #covid announcements on #Omicron are chaotic. No answers from Sajid Javid on #AndrewMarr on when masks will come…,V,N
"RT @shankar6763: @MeghBulletin Now, you can understand why #covid (active) cases refuse to reduce in #kerala, despite the much-touted &amp; muc…",C,N
"ACCOUNTABILITY=DEMOCRACY 
#COVID SEPT:10K+DEAD
MS=most #coronavirus deaths/capita.Reeves mismanaged/denied COVID
#VACCINE:MS=lowest rates
Reeves blocking vax mandates
#TEACHERS:Pay 48 lowest/50 states. Gov budgets to stop Critical Race Theory in schools
#CRT NOT TAUGHT IN SCHOOLS https://t.co/FWADI2Ph5e",O,L
"Victorian businesses can be fined anywhere from $11,000 for not having a #covid safe plan to $100,000 for employing unvaccinated employees..

You get less for 801 murders in this state. 

#DictatorDan #SackDanAndrews #KillTheBill",N,L
"RT @Independent: #Covid #OmicronVariant 

🔴 WHO racing to understand whether Omicron variant causes more severe disease 
🔴 Japan suspends e…",O,L
"@StevenKister1 #dell #laptop #latitude7410 #motherboard #covid 

Four motherboards  damaged during two month, what agreat tool to consider it through pandemic!.",O,L
"RT @iem_molinari: #GDP doesn't like #Covid: quarter after quarter, data confirms that countries seeking to contain pandemic &amp; mortality are…",O,L
"RT @nihardesai7: I don't think I'm in a state to handle another #covid wave 😭
#MedTwitter",O,N
"Receive this in your inbox daily, subscribe here: https://t.co/If3jz3tF56 

#FXTrading #Trading #Investing #US #Covid #Omicron #EUR #Nuclear",O,L
RT @rose_k01: Road Map towards Immortality 😂 #Omicron #OmicronVariant  #Vaccination https://t.co/9wKz6jEDIz,O,L
RT @manickamtagore: In India 🇮🇳 out of 108 crore eligible for Vaccinations only 42 crore are #vaccinated twice and #OmicronVariant on its w…,V,N
RT @mvollmer1: This is probably the best video describing how #COVID19 kills in the body. This 🎥 #video is visually showing the big picture…,I,L
RT @AlexWitzleben: Worrying new strain shows the virus is not beaten - The #OmicronVariant shows signs that it may be even more transmissib…,V,N
Road Map towards Immortality 😂 #Omicron #OmicronVariant  #Vaccination https://t.co/9wKz6jEDIz,O,L
"RT @ETNOWlive: #Omicron | ""It appears to be spreading fast, but no one has reported it to be deadly yet"" Dr @velumania shares his views on…",V,P
RT @ClaytonUtz: My employee refuses to be vaccinated against COVID-19: What do I do?  #auslaw #covid19 #emplaw  #vaccination   https://t.co…,N,N
"This is probably the best video describing how #COVID19 kills in the body. This 🎥 #video is visually showing the big picture that many might be missing when they deny themselves the #vaccine by @alvinfoo  👍

#coronavirus #COVIDー19 #pandemic #health #vaccination #covid19vaccine https://t.co/vDgzvoXPsO",I,N
"What do foreigners think about #vaccination in #China?
https://t.co/yhZ4SoXgMK",N,L
"RT @Thomas_Wilckens: Missed it? ""transmission of Delta infections from fully vaccinated individuals was similar to that of unvaccinated"" Tr…",N,N
RT @Thomas_Wilckens: Risk of rapid evolutionary escape from biomedical interventions targeting SARS-CoV-2 spike protein #massvaccination is…,O,N
My employee refuses to be vaccinated against COVID-19: What do I do?  #auslaw #covid19 #emplaw  #vaccination   https://t.co/NvYdcOMEeA https://t.co/NytUtxlwjH,N,N
"If we need 85% for herd immunity,
this place is below that:
🇵🇾 PARAGUAY
35.86% fully vaccinated
as of 23-11-21

Take action: https://t.co/byqvJdADRl

#vaccination #VaxToTheMax #vaccinated #geimpft #ImpfenSchuetzt #impfmich",O,L
"RT @Gtv_Luna: 🙏 Pray for the victims💔
 ☣️Stop the #COVID19 💉 #vaccines ‼️
#Vaccine #Vaccination #MandatoryVaccination #VaccinePassport http…",I,L
"RT @ETNOWlive: #Omicron | ""No need for a booster dose if the virus is not mutating"" Listen in to Dr @velumania's views 

@Thyrocare @nayant…",N,L
"Recent analysis shows a 189% growth in the number of UK #jobadverts that specify that the jobseeker must be vaccinated against COVID-19. However, the proportion of roles which require #vaccination remains low, at only 0.19% of October job adverts 

#emplaw",V,L
"RT @EconomicTimes: #India issues revised guidelines for international travellers in view of #Omicron variant COVID19

Guidelines require al…",T,L
"#India issues revised guidelines for international travellers in view of #Omicron variant COVID19

Guidelines require all travellers (irrespective of #vaccination status) coming to #India from 'at-risk' countries to mandatorily undergo #COVID19 #testing at airport on arrival https://t.co/BxlUmV0Je7",T,L
"#India reports 8,309 new #Covid cases; #activecases decline to 1,03,859
#CoronaVirusUpdates #recoveryrate #positivityrate #deathtoll #India_Covid_Tally #vaccination #ICMR
#Maharashtra #TamilNadu
#WestBengal #Kerala #Karnataka
@MoHFW_INDIA @COVIDNewsByMIB
https://t.co/7ehHiO9HPM",C,L
"RT @elleprovocateur: Vaccination: Most Deceptive Tool of #Imperialism by Dr. Romeo F. Quijano

""#Vaccination is probably the most deceptive…",V,N
"RT @neeri_wwtd: #GIS Representation of #Covid_19 scenario for #India for 29th Nov 2021, prepared by @CSIR_NEERI
Total #Vaccination 1,22,41,…",O,L
"#HarGharDastak 
#LargestVaccineDrive 

Press Meet  on Covid #Vaccination Completion Campaign going at Darrang district. https://t.co/VPLy5ZkYsU",O,L
"The new omicron variant should remind us that the only way to combat this epidemic is global #vaccination, not only in the first world
 .
 .
 .
 #AfricaExists
 #Vaccination
 #VariantAfrican
 #VariantOmicron",N,L
#unitedarabemirates achieves a major milestone in its #vaccination campaign against #covid19 as it delivers first doses to 100% of eligible #dubairesidents. #dubairealestate #covid19 #coronavirus #dubaiproperty #dubaiinvestor #safestcity #propertyinvestor #realestateinvesting,N,P
