,tfidf_score
analytics,26.14393726401688
20211126,16.209241103690466
insights,16.209241103690466
usafacts,15.163483613129792
7,12.336140268833166
county,11.142320242817053
datavisualization,9.934696160326414
globalhealth,9.934696160326414
confirmed,9.152620199456864
njoyflyfishing,8.387640052032225
datascience,7.560860164768714
publichealth,7.560860164768714
da,6.9897000433601875
day,5.111764679529524
team,4.801960759558038
1k,3.6601512169623636
water,2.795880017344075
28,2.387640052032226
ky,2.0969100130080562
ks,2.0969100130080562
thesundaily,2.0969100130080562
observe,2.0969100130080562
la,2.0969100130080562
lowest,2.0969100130080562
mt,2.0969100130080562
bha,2.0969100130080562
safety,2.0915149811213505
data,1.8412902471530717
8309,1.5686362358410129
ms,1.5686362358410129
victoria,1.5686362358410129
176,1.3979400086720375
curve,1.3979400086720375
function,1.3979400086720375
food,1.3979400086720375
iaxalife,1.3979400086720375
236,1.3979400086720375
httpstcoupr0lustlt,1.3979400086720375
hospitalisations,1.3979400086720375
caught,1.3979400086720375
su,1.3979400086720375
ny,1.3979400086720375
usafact,1.3979400086720375
nc,1.3979400086720375
deaths,1.3567401821127896
daily,1.3310924976981382
november,1.2041199826559246
protective,1.193820026016113
youre,1.193820026016113
24,1.193820026016113
population,1.1092437480817818
kerala,1.0457574905606752
nov,1.0457574905606752
482300,1.0457574905606752
iran,1.0457574905606752
ndtv,0.9030899869919434
women,0.9030899869919434
mo,0.9030899869919434
total,0.9030899869919434
2021,0.8873949984654255
health,0.8693923206528277
details,0.7958800173440752
justin,0.7958800173440752
cricketers,0.7958800173440752
returning,0.7958800173440752
harare,0.7958800173440752
funding,0.7958800173440752
suffer,0.7958800173440752
herd,0.7958800173440752
231121,0.7958800173440752
action,0.7958800173440752
httpstcobyqvjdadrl,0.7958800173440752
vaxtothemax,0.7958800173440752
geimpft,0.7958800173440752
impfenschuetzt,0.7958800173440752
impfmich,0.7958800173440752
midday,0.6989700043360187
ailing,0.6989700043360187
hero,0.6989700043360187
rozy,0.6989700043360187
saldhana,0.6989700043360187
husband,0.6989700043360187
jewellery,0.6989700043360187
httpstcorgittv1ig8,0.6989700043360187
mikeharrisssss,0.6989700043360187
religious,0.6989700043360187
nut,0.6989700043360187
rampant,0.6989700043360187
vulnerable,0.6989700043360187
vaccinatedbythelord,0.6989700043360187
httpstcoziuyrjyjxk,0.6989700043360187
httpstcoy9ybwgfdln,0.6989700043360187
httpstcoxdi8ulwcj3,0.6989700043360187
shankar6763,0.6989700043360187
muchtouted,0.6989700043360187
muc,0.6989700043360187
activecases,0.6989700043360187
decline,0.6989700043360187
