,tfidf_score
iran,2.0915149811213505
lung,1.3979400086720375
democraps,1.3979400086720375
dee,1.3979400086720375
players,1.3979400086720375
body,1.193820026016113
hospital,1.1092437480817818
lungs,1.0457574905606752
describing,1.0457574905606752
visually,1.0457574905606752
picture,1.0457574905606752
themselves,1.0457574905606752
shocking,1.0457574905606752
adverse,1.0457574905606752
death,0.9030899869919434
video,0.8873949984654255
50,0.7958800173440752
kills,0.7958800173440752
aged,0.7958800173440752
cancer,0.7958800173440752
obese,0.7958800173440752
died,0.7745097999287158
fredshesaid1,0.6989700043360187
description,0.6989700043360187
icu,0.6989700043360187
transplant,0.6989700043360187
destroyed,0.6989700043360187
pic,0.6989700043360187
15y,0.6989700043360187
neurological,0.6989700043360187
complications,0.6989700043360187
cerebrovascular,0.6989700043360187
accidents,0.6989700043360187
reversible,0.6989700043360187
splenial,0.6989700043360187
lesions,0.6989700043360187
guillainb,0.6989700043360187
democratscovidpercentagehospital,0.6989700043360187
httpstcoqbopttoop3,0.6989700043360187
mvollmer1,0.6989700043360187
missing,0.6989700043360187
deny,0.6989700043360187
alvinfoo,0.6989700043360187
httpstcovdgzvoxpso,0.6989700043360187
progress,0.6989700043360187
notewo,0.6989700043360187
hy,0.6989700043360187
excess,0.6989700043360187
lt25,0.6989700043360187
telanganatoday,0.6989700043360187
incident,0.6989700043360187
esihospital,0.6989700043360187
81,0.6989700043360187
mandating,0.6989700043360187
tweeterreynolds,0.6989700043360187
sufferers,0.6989700043360187
cannabis,0.6989700043360187
ease,0.6989700043360187
wrecked,0.6989700043360187
absolutely,0.6989700043360187
draine,0.6989700043360187
famous,0.6989700043360187
nonelderly,0.6989700043360187
5000,0.6989700043360187
wellknown,0.6989700043360187
definitelywiderspread,0.6989700043360187
stoppanicking,0.6989700043360187
httpstcovkbcjvleqv,0.6989700043360187
tothelifeboats,0.6989700043360187
chest,0.6989700043360187
pains,0.6989700043360187
jonahthaloner,0.6989700043360187
unexplained,0.6989700043360187
friendship,0.6989700043360187
onset,0.6989700043360187
leukaemia,0.6989700043360187
jb$,0.6989700043360187
match,0.6989700043360187
httpstco16w1glnbkr,0.6989700043360187
shivashankarmaster,0.6989700043360187
choreographers,0.6989700043360187
72,0.6989700043360187
undergoing,0.6989700043360187
gachibowli,0.6989700043360187
bollywood,0.6989700043360187
httpstcodjrcgbfpn0,0.6989700043360187
481900,0.6989700043360187
warn,0.6989700043360187
premature,0.6989700043360187
normalization,0.6989700043360187
httpstcomqzncgansq,0.6989700043360187
mojahedin,0.6989700043360187
iranpolicy,0.6989700043360187
hannahforest,0.6989700043360187
severity,0.6989700043360187
reinfections,0.6989700043360187
httpstcoluwpu3wmrn,0.6989700043360187
numbers28,0.6989700043360187
eat,0.6989700043360187
exercise,0.6989700043360187
theage,0.6989700043360187
deliri,0.6989700043360187
ticerichard,0.6989700043360187
johnwri39288874,0.6989700043360187
sooner,0.6989700043360187
slightly,0.6989700043360187
multiple,0.6989700043360187
organ,0.6989700043360187
jdpoc,0.6989700043360187
55yearold,0.6989700043360187
attended,0.6989700043360187
blmaw,0.6989700043360187
suff,0.6989700043360187
scrambling,0.6989700043360187
buying,0.6989700043360187
pascal,0.6989700043360187
soriots,0.6989700043360187
companys,0.6989700043360187
httpstcotwuonxmhnn,0.6989700043360187
macrophagic,0.6989700043360187
myofascitis,0.6989700043360187
damage,0.6989700043360187
deltoid,0.6989700043360187
muscle,0.6989700043360187
containi,0.6989700043360187
