,tfidf_score
mask,3.3277312442453457
wear,2.6621849953962764
masks,1.8588235198289178
shops,1.8061799739838869
transpo,1.5917600346881504
politicspollss,1.5686362358410129
wearing,1.5051499783199058
lock,1.3979400086720375
airborne,1.3979400086720375
aerosols,1.3979400086720375
herdimmunity,1.3979400086720375
facemask,1.3979400086720375
feel,1.3979400086720375
public,1.1092437480817818
avoid,1.0457574905606752
facemasks,1.0457574905606752
simple,1.0457574905606752
exempt,1.0457574905606752
christmas,0.8873949984654255
safe,0.8873949984654255
voice,0.7958800173440752
wqbelle,0.7958800173440752
question,0.7958800173440752
protective,0.7958800173440752
rns,0.6989700043360187
vox,0.6989700043360187
gdr,0.6989700043360187
diagnostics,0.6989700043360187
genedriveplc,0.6989700043360187
httpstcotx6utcvgnh,0.6989700043360187
broke,0.6989700043360187
rulesrestrictions,0.6989700043360187
mum,0.6989700043360187
ate,0.6989700043360187
laughed,0.6989700043360187
bickered,0.6989700043360187
ecdc,0.6989700043360187
inhaling,0.6989700043360187
accumulate,0.6989700043360187
poorly,0.6989700043360187
ventilated,0.6989700043360187
sp,0.6989700043360187
pledge,0.6989700043360187
maintain,0.6989700043360187
gatherings,0.6989700043360187
ventilate,0.6989700043360187
transmitted,0.6989700043360187
fitting,0.6989700043360187
superior,0.6989700043360187
cloth,0.6989700043360187
surgi,0.6989700043360187
fines,0.6989700043360187
handed,0.6989700043360187
fail,0.6989700043360187
tues,0.6989700043360187
dakshinakannada,0.6989700043360187
talapady,0.6989700043360187
checkpost,0.6989700043360187
httpstcojaux2sgsm0,0.6989700043360187
lateral,0.6989700043360187
flow,0.6989700043360187
lateralflowtests,0.6989700043360187
salesrapidtestpackcom,0.6989700043360187
httpstcolv7habgiop,0.6989700043360187
rapidtesting,0.6989700043360187
stopthespread,0.6989700043360187
agree,0.6989700043360187
edmonton,0.6989700043360187
closetheborders,0.6989700043360187
httpstco0zzoe4uw7q,0.6989700043360187
iamlege85998753,0.6989700043360187
afternoonbriefing,0.6989700043360187
arelockdown,0.6989700043360187
fatigued,0.6989700043360187
heads,0.6989700043360187
vested,0.6989700043360187
ethekwinim,0.6989700043360187
protocols,0.6989700043360187
oth,0.6989700043360187
rskellner,0.6989700043360187
coetzee,0.6989700043360187
districts,0.6989700043360187
instructed,0.6989700043360187
passenger,0.6989700043360187
outside,0.6989700043360187
heshe,0.6989700043360187
naveenjakharits,0.6989700043360187
possibility,0.6989700043360187
looms,0.6989700043360187
appropriate,0.6989700043360187
behavio,0.6989700043360187
brand,0.6989700043360187
memorable,0.6989700043360187
promotionalgifts,0.6989700043360187
httpstcof2lgsxixvk,0.6989700043360187
drqvo,0.6989700043360187
rup,0.6989700043360187
majority,0.6989700043360187
swiss,0.6989700043360187
communication,0.6989700043360187
findings,0.6989700043360187
behavior,0.6989700043360187
httpstcoic6tnsw0c9,0.6989700043360187
gabriele,0.6989700043360187
