,tfidf_score
booster,11.092437480817818
pfizer,8.140441092676738
dose,7.986554986188829
moderna,7.125490159344185
janssen,6.433613738874334
swasthyasevak,6.290730039024169
vaccine,4.758779018310215
doses,3.9932774930944146
shot,3.9932774930944146
unite2fightcorona,3.6601512169623636
jab,3.183520069376301
flu,3.183520069376301
botswana,3.1372724716820257
brussels,3.1372724716820257
book,3.1372724716820257
vaccinations,3.0102999566398116
mrna,3.0102999566398116
pharma,3.0102999566398116
mc,2.795880017344075
sputnik,2.795880017344075
johnson,2.7092699609758304
approved,2.614393726401688
2nd,2.4403362457799203
astrazeneca,2.42275032520141
covidvaccine,2.408239965311849
vax,2.408239965311849
biontech,2.408239965311849
received,2.408239965311849
plan,2.387640052032226
visit,2.387640052032226
aged,2.387640052032226
gt,2.387640052032226
trial,2.387640052032226
available,2.2184874961635637
ago,2.2184874961635637
18,2.107209969647868
current,2.107209969647868
wealthy,2.0969100130080562
fightsagainstvirus,2.0969100130080562
nagpur,2.0969100130080562
nagpurcity,2.0969100130080562
covid19help,2.0969100130080562
we4vaccine,2.0969100130080562
cmomaharashtra,2.0969100130080562
ngpnmc,2.0969100130080562
trials,2.0969100130080562
appointment,2.0969100130080562
authorizes,2.0969100130080562
jampj,2.0969100130080562
prevention,2.0969100130080562
delivered,2.0969100130080562
access,2.0969100130080562
madagascar,2.0969100130080562
lobbyists,2.0969100130080562
wrong,2.0969100130080562
threeday,2.0915149811213505
vaccineswork,2.0915149811213505
patents,2.0915149811213505
hey,2.0915149811213505
system,2.0915149811213505
drive,1.989700043360188
reformulated,1.989700043360188
4,1.989700043360188
vaccines,1.8302996224270056
eligible,1.8061799739838869
boostershot,1.8061799739838869
theres,1.8061799739838869
months,1.7039215598431747
employee,1.5917600346881504
reaction,1.5917600346881504
push,1.5917600346881504
1215,1.5917600346881504
usbased,1.5917600346881504
elude,1.5917600346881504
fda,1.5917600346881504
covishield,1.5917600346881504
nine,1.5686362358410129
person,1.5686362358410129
supply,1.5686362358410129
refuses,1.5686362358410129
administered,1.5686362358410129
icle,1.5686362358410129
