,tfidf_score
pfizer,3.1980304292658612
iran,3.1372724716820257
poses,2.795880017344075
emergency,2.614393726401688
dangerous,2.614393726401688
moderna,2.3235293997861475
cha,2.0969100130080562
trials,2.0969100130080562
evade,2.0969100130080562
joke,2.0969100130080562
fuck,2.0969100130080562
overall,2.0969100130080562
bha,2.0969100130080562
lobbyists,2.0969100130080562
wrong,2.0969100130080562
lied,2.0915149811213505
refuses,2.0915149811213505
botswana,2.0915149811213505
victoria,2.0915149811213505
variant,2.0590870752303814
doctors,1.989700043360188
trial,1.989700043360188
concern,1.989700043360188
masks,1.8588235198289178
spread,1.8061799739838869
vax,1.8061799739838869
told,1.8061799739838869
death,1.8061799739838869
vaccine,1.7387846413056554
evil,1.5917600346881504
transpo,1.5917600346881504
kills,1.5917600346881504
push,1.5917600346881504
related,1.5917600346881504
triple,1.5686362358410129
40,1.5686362358410129
signs,1.5686362358410129
themselves,1.5686362358410129
worst,1.5686362358410129
dead,1.5686362358410129
482300,1.5686362358410129
closed,1.5686362358410129
arent,1.5686362358410129
patents,1.5686362358410129
money,1.5529412473144946
medical,1.5529412473144946
shops,1.5051499783199058
theres,1.5051499783199058
media,1.5051499783199058
biontech,1.5051499783199058
warns,1.5051499783199058
decepticon,1.3979400086720375
course,1.3979400086720375
policy,1.3979400086720375
democraps,1.3979400086720375
beaten,1.3979400086720375
auslaw,1.3979400086720375
deceptive,1.3979400086720375
enemy,1.3979400086720375
contagious,1.3979400086720375
manipulators,1.3979400086720375
enforcers,1.3979400086720375
tandem,1.3979400086720375
depopulate,1.3979400086720375
nfsc,1.3979400086720375
gettr,1.3979400086720375
excluding,1.3979400086720375
hiv,1.3979400086720375
fullyvaxxed,1.3979400086720375
bloodclots,1.3979400086720375
bidensamerica,1.3979400086720375
matters,1.3979400086720375
covid19vaccines,1.3979400086720375
niborrd,1.3979400086720375
hyperine,1.3979400086720375
concluded,1.3979400086720375
pfzer,1.3979400086720375
johnsonjohnson,1.3979400086720375
herdimmunity,1.3979400086720375
disclosure,1.3979400086720375
misappropriation,1.3979400086720375
rupees,1.3979400086720375
eye,1.3979400086720375
opener,1.3979400086720375
criminality,1.3979400086720375
surplus,1.3979400086720375
careful,1.3979400086720375
evaluation,1.3979400086720375
$vix,1.3979400086720375
sydney,1.3979400086720375
nsw,1.3979400086720375
ca,1.3979400086720375
afraid,1.3979400086720375
dee,1.3979400086720375
five,1.3979400086720375
locking,1.3979400086720375
sati,1.3979400086720375
alive,1.3979400086720375
hodox,1.3979400086720375
2019ncov,1.3979400086720375
mutated,1.3979400086720375
exams,1.3979400086720375
iaxalife,1.3979400086720375
