,tfidf_score
analytics,25.098179773456206
20211126,15.686362358410129
insights,15.686362358410129
usafacts,14.640604867849454
7,12.734080277505203
cancelterm1,12.581460078048337
county,11.142320242817053
confirmed,9.94850021680094
datavisualization,9.411817415046077
globalhealth,9.411817415046077
moderna,9.29411759914459
booster,8.652101235037899
pfizer,8.528081144708963
njoyflyfishing,8.387640052032225
pmoindia,8.387640052032225
fly,7.688670047696206
datascience,7.560860164768714
publichealth,7.560860164768714
da,6.9897000433601875
842,6.9897000433601875
httpstcomnp2b07fum,6.9897000433601875
dose,6.877311238107048
gold,6.764980147424639
janssen,6.655462488490691
2022,6.433613738874334
swasthyasevak,6.290730039024169
mikepompeo,6.290730039024169
special,6.274544943364051
cycling,6.274544943364051
target,5.751666198083714
aijnsaofficial,5.59176003468815
activistsukhpal,5.59176003468815
delhiparentsdpa,5.59176003468815
day,5.42156859950101
2021,5.324369990792553
review,5.228787452803376
team,4.956862719543781
price,4.892790030352131
jjaranaz94,4.892790030352131
pedazitosdevuelta,4.892790030352131
iii,4.892790030352131
con,4.892790030352131
raquelespuelas,4.892790030352131
finestadodealarma,4.892790030352131
en,4.892790030352131
vaccine,4.438476584385489
toquedequeda,4.1938200260161125
fintoquedequeda,4.1938200260161125
cbseindia29,4.1938200260161125
cancelboardexams2022,4.183029962242701
press,3.913389943631755
politics,3.6601512169623636
live,3.6123599479677737
reformulated,3.5814600780483383
straight,3.4948500216800937
standbye,3.4948500216800937
tevdadeverano,3.4948500216800937
traselvalleobc,3.4948500216800937
estadodealarma,3.4948500216800937
hiring,3.4948500216800937
term,3.4948500216800937
astrazeneca,3.391850455281974
november,3.3113299523037925
current,3.3113299523037925
able,3.3113299523037925
28,3.183520069376301
jab,3.183520069376301
visit,3.183520069376301
fda,3.183520069376301
flu,3.183520069376301
nov,3.1372724716820257
unite2fightcorona,3.1372724716820257
6th,3.1372724716820257
championships,3.1372724716820257
kurukshetra,3.1372724716820257
haryana,3.1372724716820257
niroop,3.1372724716820257
mondaymotivation,3.1372724716820257
1k,3.1372724716820257
airpo,3.105882494628989
shot,3.105882494628989
mrna,3.0102999566398116
amp,2.9742368864438844
doses,2.8840337450126325
mask,2.8840337450126325
billgates,2.8840337450126325
sharemarket,2.795880017344075
topnews,2.795880017344075
todaynews,2.795880017344075
reuters,2.795880017344075
americas,2.795880017344075
middleeast,2.795880017344075
breakingheadlines,2.795880017344075
mc,2.795880017344075
wow,2.795880017344075
limited,2.795880017344075
5400,2.795880017344075
btc,2.795880017344075
shoes,2.795880017344075
water,2.795880017344075
dgurdasani1,2.795880017344075
action,2.7855800607042633
4,2.7855800607042633
received,2.7092699609758304
national,2.7092699609758304
probably,2.6621849953962764
variant,2.653934452519158
monday,2.6333333197576336
potential,2.614393726401688
breakingnews,2.614393726401688
asia,2.614393726401688
heres,2.614393726401688
brussels,2.614393726401688
mansukhmandviya,2.614393726401688
icle,2.614393726401688
stockmarket,2.614393726401688
safety,2.614393726401688
digital,2.614393726401688
data,2.5196603382094667
am,2.4784313597718906
help,2.4403362457799203
concerns,2.408239965311849
road,2.408239965311849
guidelines,2.408239965311849
18,2.408239965311849
pharma,2.408239965311849
johnson,2.408239965311849
check,2.387640052032226
consider,2.387640052032226
analysis,2.387640052032226
narendramodi,2.387640052032226
notice,2.387640052032226
elude,2.387640052032226
gt,2.387640052032226
news,2.3235293997861475
2,2.2289302991852975
2nd,2.2184874961635637
available,2.2184874961635637
market,2.107209969647868
spread,2.107209969647868
covidvaccine,2.107209969647868
community,2.107209969647868
vaccinations,2.107209969647868
asx200,2.0969100130080562
fell,2.0969100130080562
ky,2.0969100130080562
bitcoin,2.0969100130080562
crypto,2.0969100130080562
ks,2.0969100130080562
issue,2.0969100130080562
wealthy,2.0969100130080562
dell,2.0969100130080562
laptop,2.0969100130080562
latitude7410,2.0969100130080562
motherboard,2.0969100130080562
motherboards,2.0969100130080562
damaged,2.0969100130080562
agreat,2.0969100130080562
revised,2.0969100130080562
travellers,2.0969100130080562
fightsagainstvirus,2.0969100130080562
nagpur,2.0969100130080562
nagpurcity,2.0969100130080562
covid19help,2.0969100130080562
we4vaccine,2.0969100130080562
cmomaharashtra,2.0969100130080562
ngpnmc,2.0969100130080562
15th,2.0969100130080562
tga,2.0969100130080562
daen,2.0969100130080562
database,2.0969100130080562
appointment,2.0969100130080562
technical,2.0969100130080562
authorizes,2.0969100130080562
ok,2.0969100130080562
$tsla,2.0969100130080562
wins,2.0969100130080562
thesundaily,2.0969100130080562
observe,2.0969100130080562
prince,2.0969100130080562
single,2.0969100130080562
caused,2.0969100130080562
dot,2.0969100130080562
httpstcooulwfsa5zd,2.0969100130080562
httpstcooqjwfkocti,2.0969100130080562
mascarilla,2.0969100130080562
jampj,2.0969100130080562
prevention,2.0969100130080562
rivm,2.0969100130080562
zie,2.0969100130080562
boosterprik,2.0969100130080562
access,2.0969100130080562
hr,2.0969100130080562
la,2.0969100130080562
career,2.0969100130080562
mt,2.0969100130080562
womens,2.0969100130080562
currentaffairs,2.0969100130080562
xauusd,2.0969100130080562
connected,2.0969100130080562
solutions,2.0969100130080562
chicago,2.0969100130080562
testimony,2.0969100130080562
banwell,2.0969100130080562
driven,2.0915149811213505
list,2.0915149811213505
youtube,2.0915149811213505
avoid,2.0915149811213505
yourself,2.0915149811213505
honble,2.0915149811213505
chairs,2.0915149811213505
situation,2.0915149811213505
brought,2.0915149811213505
stockmarkets,2.0915149811213505
pfizerbiontech,2.0915149811213505
astrazenecas,2.0915149811213505
launch,2.0915149811213505
ant,2.0915149811213505
vacancy,2.0915149811213505
adverse,2.0915149811213505
animals,2.0915149811213505
america,2.0915149811213505
clinic,2.0915149811213505
apply,2.0915149811213505
omicronvariant,2.0590870752303814
video,1.9966387465472073
top,1.9966387465472073
days,1.9966387465472073
30,1.989700043360188
plan,1.989700043360188
click,1.989700043360188
herd,1.989700043360188
231121,1.989700043360188
httpstcobyqvjdadrl,1.989700043360188
vaxtothemax,1.989700043360188
geimpft,1.989700043360188
impfenschuetzt,1.989700043360188
impfmich,1.989700043360188
employee,1.989700043360188
suspected,1.989700043360188
aged,1.989700043360188
information,1.989700043360188
ale,1.989700043360188
vaccinated,1.921814603548356
time,1.8588235198289178
vaccines,1.8302996224270056
australian,1.8061799739838869
shri,1.8061799739838869
shots,1.8061799739838869
international,1.8061799739838869
view,1.8061799739838869
ive,1.8061799739838869
biotech,1.8061799739838869
biontech,1.8061799739838869
impact,1.8061799739838869
wear,1.774789996930851
japan,1.774789996930851
below,1.774789996930851
pm,1.774789996930851
meeting,1.774789996930851
president,1.774789996930851
ago,1.774789996930851
population,1.774789996930851
stop,1.7039215598431747
update,1.7039215598431747
health,1.6930271507449803
rules,1.647470221136959
ality,1.5917600346881504
normal,1.5917600346881504
makes,1.5917600346881504
drive,1.5917600346881504
schools,1.5917600346881504
confirms,1.5917600346881504
trading,1.5917600346881504
4th,1.5917600346881504
ce,1.5917600346881504
officials,1.5917600346881504
ban,1.5917600346881504
thanks,1.5917600346881504
reactions,1.5917600346881504
anti,1.5917600346881504
truth,1.5917600346881504
covishield,1.5917600346881504
12,1.5917600346881504
usbased,1.5917600346881504
stock,1.5917600346881504
protective,1.5917600346881504
woman,1.5917600346881504
believe,1.5917600346881504
updates,1.5917600346881504
sorry,1.5917600346881504
look,1.5917600346881504
germany,1.5917600346881504
lifestyle,1.5917600346881504
cancel,1.5917600346881504
politicians,1.5917600346881504
join,1.5917600346881504
including,1.5686362358410129
economictimes,1.5686362358410129
police,1.5686362358410129
airnewsale,1.5686362358410129
sex,1.5686362358410129
word,1.5686362358410129
climbs,1.5686362358410129
thyrocare,1.5686362358410129
recent,1.5686362358410129
require,1.5686362358410129
job,1.5686362358410129
forward,1.5686362358410129
ministry,1.5686362358410129
lower,1.5686362358410129
book,1.5686362358410129
additional,1.5686362358410129
vaccineswork,1.5686362358410129
register,1.5686362358410129
sir,1.5686362358410129
hey,1.5686362358410129
twitter,1.5686362358410129
51,1.5686362358410129
chinese,1.5686362358410129
approved,1.5686362358410129
announced,1.5686362358410129
employers,1.5686362358410129
16,1.5686362358410129
impo,1.5686362358410129
leiden,1.5686362358410129
searching,1.5686362358410129
welcome,1.5686362358410129
platform,1.5686362358410129
system,1.5686362358410129
series,1.5686362358410129
oh,1.5686362358410129
bought,1.5686362358410129
paul,1.5686362358410129
loksabha,1.5686362358410129
tadaptrailer2,1.5686362358410129
shreyaghoshal,1.5686362358410129
aashiquiaagayi,1.5686362358410129
merriamwebster,1.5686362358410129
trouble,1.5686362358410129
key,1.5686362358410129
game,1.5686362358410129
thank,1.5686362358410129
sajidjavid,1.5686362358410129
meant,1.5686362358410129
close,1.5529412473144946
europe,1.5529412473144946
christmas,1.5529412473144946
safe,1.5529412473144946
minister,1.5529412473144946
daily,1.5529412473144946
public,1.5529412473144946
restrictions,1.5529412473144946
1st,1.5490195998574317
children,1.5490195998574317
session,1.5051499783199058
biden,1.5051499783199058
26,1.5051499783199058
increased,1.5051499783199058
5,1.5051499783199058
getvaccinatednow,1.5051499783199058
disease,1.5051499783199058
mo,1.5051499783199058
85,1.5051499783199058
immunity,1.5051499783199058
mohfwindia,1.5051499783199058
total,1.5051499783199058
eligible,1.5051499783199058
boostershot,1.5051499783199058
company,1.5051499783199058
usa,1.5051499783199058
effects,1.5051499783199058
ndtv,1.5051499783199058
nhs,1.5051499783199058
relating,1.3979400086720375
13,1.3979400086720375
placed,1.3979400086720375
red,1.3979400086720375
december,1.3979400086720375
radio,1.3979400086720375
sent,1.3979400086720375
islands,1.3979400086720375
happy,1.3979400086720375
opinions,1.3979400086720375
victorian,1.3979400086720375
fined,1.3979400086720375
$11000,1.3979400086720375
$100000,1.3979400086720375
employing,1.3979400086720375
lock,1.3979400086720375
rahulgandhi,1.3979400086720375
mps,1.3979400086720375
parliament,1.3979400086720375
airborne,1.3979400086720375
aerosols,1.3979400086720375
ad,1.3979400086720375
briefing,1.3979400086720375
extra,1.3979400086720375
virusfree,1.3979400086720375
investment,1.3979400086720375
newly,1.3979400086720375
accept,1.3979400086720375
suffering,1.3979400086720375
naturaldeposit,1.3979400086720375
qua,1.3979400086720375
eur,1.3979400086720375
map,1.3979400086720375
immo,1.3979400086720375
httpstco9wkz6jediz,1.3979400086720375
completion,1.3979400086720375
district,1.3979400086720375
familymeeting,1.3979400086720375
raj,1.3979400086720375
rajeshwari,1.3979400086720375
mandir,1.3979400086720375
covidcare,1.3979400086720375
suyog,1.3979400086720375
nagar,1.3979400086720375
garden,1.3979400086720375
pibindia,1.3979400086720375
gg,1.3979400086720375
samaj,1.3979400086720375
bhavan,1.3979400086720375
pannase,1.3979400086720375
bunnings,1.3979400086720375
entrance,1.3979400086720375
timber,1.3979400086720375
section,1.3979400086720375
female,1.3979400086720375
ificate,1.3979400086720375
lifting,1.3979400086720375
criminal,1.3979400086720375
wa,1.3979400086720375
tesla,1.3979400086720375
snooze,1.3979400086720375
morepenlab,1.3979400086720375
stockideas,1.3979400086720375
nationalvaccinationday,1.3979400086720375
disappointed,1.3979400086720375
technicalanalysis,1.3979400086720375
tradeondata,1.3979400086720375
positional,1.3979400086720375
5360,1.3979400086720375
stoploss,1.3979400086720375
5300,1.3979400086720375
5425,1.3979400086720375
5450,1.3979400086720375
breakout,1.3979400086720375
crosses,1.3979400086720375
genuine,1.3979400086720375
outcome,1.3979400086720375
covid19aus,1.3979400086720375
egypt,1.3979400086720375
precaution,1.3979400086720375
dha,1.3979400086720375
nice,1.3979400086720375
tagging,1.3979400086720375
dna,1.3979400086720375
resources,1.3979400086720375
vaccinessavelives,1.3979400086720375
joncoope,1.3979400086720375
weets,1.3979400086720375
8,1.3979400086720375
testimonial,1.3979400086720375
trades,1.3979400086720375
spiking,1.3979400086720375
wife,1.3979400086720375
valid,1.3979400086720375
gotten,1.3979400086720375
wales,1.3979400086720375
officially,1.3979400086720375
facility,1.3979400086720375
factcheckers,1.3979400086720375
caution,1.3979400086720375
mainstream,1.3979400086720375
claiming,1.3979400086720375
climatechange,1.3979400086720375
covid19vic,1.3979400086720375
boastful,1.3979400086720375
gunt,1.3979400086720375
qt,1.3979400086720375
moving,1.3979400086720375
average,1.3979400086720375
odds,1.3979400086720375
indicators,1.3979400086720375
website,1.3979400086720375
boasts,1.3979400086720375
hospitalizations,1.3979400086720375
$muds,1.3979400086720375
$mdcn,1.3979400086720375
$fnk,1.3979400086720375
$ubt,1.3979400086720375
reef,1.3979400086720375
pinetwork,1.3979400086720375
weed,1.3979400086720375
okex,1.3979400086720375
cake,1.3979400086720375
$ino,1.3979400086720375
goog,1.3979400086720375
$nexo,1.3979400086720375
$chfs,1.3979400086720375
$bldp,1.3979400086720375
ctsi,1.3979400086720375
$xagusd,1.3979400086720375
aespa,1.3979400086720375
$mnst,1.3979400086720375
near,1.3979400086720375
