,tfidf_score
booster,3.105882494628989
sputnik,2.795880017344075
moderna,2.3235293997861475
janssen,2.2184874961635637
delivered,2.0969100130080562
madagascar,2.0969100130080562
lowest,2.0969100130080562
rises,2.0915149811213505
99,2.0915149811213505
dose,1.9966387465472073
pfizer,1.647470221136959
book,1.5686362358410129
asian,1.5686362358410129
school,1.5686362358410129
capable,1.5686362358410129
pcr,1.5686362358410129
lung,1.3979400086720375
dream,1.3979400086720375
milestone,1.3979400086720375
southeast,1.3979400086720375
uae,1.3979400086720375
announces,1.3979400086720375
opinion,1.3979400086720375
products,1.3979400086720375
chmp,1.3979400086720375
eucommission,1.3979400086720375
byannli,1.3979400086720375
sixmonth,1.3979400086720375
formulation,1.3979400086720375
paliperidone,1.3979400086720375
palmitate,1.3979400086720375
schizophrenia,1.3979400086720375
janssenglobal,1.3979400086720375
labs,1.3979400086720375
werobotics,1.3979400086720375
hundred,1.3979400086720375
176,1.3979400086720375
mda,1.3979400086720375
glad,1.3979400086720375
nsttv,1.3979400086720375
screenings,1.3979400086720375
detect,1.3979400086720375
nucleocapsids,1.3979400086720375
nail,1.3979400086720375
temporarily,1.3979400086720375
allow,1.3979400086720375
tourists,1.3979400086720375
gujarat,1.3979400086720375
stocksinfocus,1.3979400086720375
premarket,1.3979400086720375
mine,1.3979400086720375
doses,1.3310924976981382
news,1.2392156798859453
months,1.2392156798859453
pharma,1.2041199826559246
approval,1.193820026016113
human,1.193820026016113
ready,1.1092437480817818
2022,1.1092437480817818
vaccine,1.0524222828955283
learn,1.0457574905606752
fast,1.0457574905606752
threeday,1.0457574905606752
nine,1.0457574905606752
committee,1.0457574905606752
detecting,1.0457574905606752
studying,1.0457574905606752
gtgt,1.0457574905606752
shot,0.8873949984654255
students,0.8873949984654255
belgium,0.7958800173440752
comes,0.7958800173440752
launched,0.7958800173440752
drive,0.7958800173440752
targeting,0.7958800173440752
effo,0.7958800173440752
httweets,0.7958800173440752
beat,0.7958800173440752
receiving,0.7958800173440752
medicinal,0.7958800173440752
won,0.7958800173440752
families,0.7958800173440752
voice,0.7958800173440752
co,0.7958800173440752
suspends,0.7958800173440752
bid,0.7958800173440752
join,0.7958800173440752
$mrna,0.7958800173440752
systems,0.7958800173440752
obese,0.7958800173440752
midday,0.6989700043360187
ailing,0.6989700043360187
hero,0.6989700043360187
rozy,0.6989700043360187
saldhana,0.6989700043360187
husband,0.6989700043360187
jewellery,0.6989700043360187
transplant,0.6989700043360187
destroyed,0.6989700043360187
pic,0.6989700043360187
15y,0.6989700043360187
drugmakers,0.6989700043360187
upgraded,0.6989700043360187
antivirals,0.6989700043360187
pursue,0.6989700043360187
httpstcottztupykin,0.6989700043360187
gofundme,0.6989700043360187
risemoney,0.6989700043360187
vote,0.6989700043360187
appears,0.6989700043360187
unitedarabemirates,0.6989700043360187
achieves,0.6989700043360187
delivers,0.6989700043360187
dubairesidents,0.6989700043360187
dubairealestate,0.6989700043360187
dubaiprope,0.6989700043360187
dubaiinvestor,0.6989700043360187
safestcity,0.6989700043360187
yinvestor,0.6989700043360187
realestateinvesting,0.6989700043360187
httpstco4gi52wk23m,0.6989700043360187
htlifeandstyle,0.6989700043360187
accelerate,0.6989700043360187
rollout,0.6989700043360187
httpstcokas2,0.6989700043360187
tyxv,0.6989700043360187
chainyoda,0.6989700043360187
stake,0.6989700043360187
earn,0.6989700043360187
rewards,0.6989700043360187
httpstcocg5671vhv1,0.6989700043360187
sanjeevchadha8,0.6989700043360187
seruminstindia,0.6989700043360187
produce,0.6989700043360187
herranenjari,0.6989700043360187
donates,0.6989700043360187
168,0.6989700043360187
vaccinesforall,0.6989700043360187
httpstcobs0rudkhei,0.6989700043360187
roncoleman,0.6989700043360187
wesbury,0.6989700043360187
vets,0.6989700043360187
advisors,0.6989700043360187
httpstco1srbrasba2,0.6989700043360187
adults,0.6989700043360187
httpstcot1clot4qgp,0.6989700043360187
httpstcozt0bwy5vhz,0.6989700043360187
thrilled,0.6989700043360187
3x,0.6989700043360187
relief,0.6989700043360187
iuliastrambeanu,0.6989700043360187
