,tfidf_score
fly,7.688670047696206
842,6.9897000433601875
httpstcomnp2b07fum,6.9897000433601875
mikepompeo,6.290730039024169
review,5.751666198083714
special,5.228787452803376
2022,4.436974992327127
gold,4.377340095392413
press,3.0102999566398116
able,3.0102999566398116
airpo,2.8840337450126325
probably,2.2184874961635637
billgates,2.2184874961635637
revised,2.0969100130080562
travellers,2.0969100130080562
fuck,2.0969100130080562
international,1.8061799739838869
guidelines,1.8061799739838869
monday,1.5490195998574317
am,1.5490195998574317
borders,1.5051499783199058
opinions,1.3979400086720375
ad,1.3979400086720375
lifting,1.3979400086720375
arrivals,1.3979400086720375
httpstcope4wseggqa,1.3979400086720375
timesofindia,1.3979400086720375
unwto,1.3979400086720375
temporarily,1.3979400086720375
allow,1.3979400086720375
tourists,1.3979400086720375
flights,1.3979400086720375
skill,1.3979400086720375
veroniquegenest,1.3979400086720375
france,1.3979400086720375
taxi,1.3979400086720375
japan,1.3310924976981382
students,1.1092437480817818
rules,1.0660101430886204
require,1.0457574905606752
closed,1.0457574905606752
travel,0.9691001300805641
view,0.9030899869919434
passengers,0.7958800173440752
ban,0.7958800173440752
suspends,0.7958800173440752
bid,0.7958800173440752
sammaitland101,0.6989700043360187
arriving,0.6989700043360187
oseas,0.6989700043360187
rhevanth95,0.6989700043360187
g7,0.6989700043360187
closes,0.6989700043360187
httpstcogkrqpfcju4,0.6989700043360187
chances,0.6989700043360187
boobs,0.6989700043360187
avengersassemble,0.6989700043360187
itv,0.6989700043360187
itvnews,0.6989700043360187
spends,0.6989700043360187
bounce,0.6989700043360187
laggard,0.6989700043360187
2023,0.6989700043360187
ising,0.6989700043360187
heathrow,0.6989700043360187
rdguk,0.6989700043360187
httpstcoaae5raxtyt,0.6989700043360187
davidcolta,0.6989700043360187
banned,0.6989700043360187
atrisk,0.6989700043360187
mandatorily,0.6989700043360187
undergo,0.6989700043360187
arrival,0.6989700043360187
httpstcobxlumv0je7,0.6989700043360187
def,0.6989700043360187
om,0.6989700043360187
traveler,0.6989700043360187
closure,0.6989700043360187
httpstcobsdwkk2ndb,0.6989700043360187
internationaltravelers,0.6989700043360187
iboy,0.6989700043360187
leo,0.6989700043360187
hillinger,0.6989700043360187
traveling,0.6989700043360187
golfing,0.6989700043360187
httpstcourxav11grr,0.6989700043360187
safetravel,0.6989700043360187
ttot,0.6989700043360187
latestnews,0.6989700043360187
fumiokishida,0.6989700043360187
httpstcox0najh8jpb,0.6989700043360187
riskbased,0.6989700043360187
approach,0.6989700043360187
procedures,0.6989700043360187
manner,0.6989700043360187
httpstco96tvfnxpih,0.6989700043360187
alarabiyaeng,0.6989700043360187
omi,0.6989700043360187
httpstco5kkyopsfbk,0.6989700043360187
balimmigration,0.6989700043360187
sweden,0.6989700043360187
extended,0.6989700043360187
httpstco84yijdnxz8,0.6989700043360187
tra,0.6989700043360187
shanghaisun,0.6989700043360187
httpstcomztxgjqxze,0.6989700043360187
degrees,0.6989700043360187
httpstcousgz1aq24i,0.6989700043360187
harshalsalve,0.6989700043360187
developed,0.6989700043360187
reeling,0.6989700043360187
example,0.6989700043360187
colonial,0.6989700043360187
shutting,0.6989700043360187
waves,0.6989700043360187
dueomicron,0.6989700043360187
httpstcobttrl9jduo,0.6989700043360187
africabnn,0.6989700043360187
skilled,0.6989700043360187
migrants,0.6989700043360187
scott,0.6989700043360187
morriso,0.6989700043360187
medic4allhuman,0.6989700043360187
pierrejovanovic,0.6989700043360187
unetrehumain,0.6989700043360187
francesoir,0.6989700043360187
gkierzek,0.6989700043360187
cab2626,0.6989700043360187
ricardominute,0.6989700043360187
bugaultv,0.6989700043360187
rudygiuliani,0.6989700043360187
passsanitaire,0.6989700043360187
httpstcoumocnnu6jl,0.6989700043360187
shanghaidaily,0.6989700043360187
reservations,0.6989700043360187
visits,0.6989700043360187
cemeteries,0.6989700043360187
tombsweeping,0.6989700043360187
dongzhi,0.6989700043360187
wint,0.6989700043360187
africas,0.6989700043360187
neighbours,0.6989700043360187
httpstco5q1ianloom,0.6989700043360187
blllabong,0.6989700043360187
politicsjoeuk,0.6989700043360187
drrosena,0.6989700043360187
geneveaeropo,0.6989700043360187
arrive,0.6989700043360187
easyjet,0.6989700043360187
transit,0.6989700043360187
directly,0.6989700043360187
pick,0.6989700043360187
skiing,0.6989700043360187
ferneyvoltaire,0.6989700043360187
observerug,0.6989700043360187
allowed,0.6989700043360187
kampala,0.6989700043360187
kabuye,0.6989700043360187
kyofatogabye,0.6989700043360187
deviant,0.6989700043360187
issues,0.6655462488490691
restrictions,0.6655462488490691
workers,0.6655462488490691
entry,0.6655462488490691
travelban,0.6020599913279623
calls,0.6020599913279623
bar,0.6020599913279623
foreign,0.6020599913279623
vaccinated,0.5490898867281018
emergency,0.5228787452803376
sex,0.5228787452803376
bbc,0.5228787452803376
adve,0.5228787452803376
explained,0.5228787452803376
economictimes,0.5228787452803376
irrespective,0.5228787452803376
ddnewslive,0.5228787452803376
cyril,0.5228787452803376
ramaphosa,0.5228787452803376
travelers,0.5228787452803376
measure,0.5228787452803376
timely,0.5228787452803376
thousands,0.5228787452803376
banning,0.5228787452803376
arent,0.5228787452803376
city,0.5228787452803376
australia,0.46470587995722945
close,0.44369749923271273
president,0.44369749923271273
pm,0.44369749923271273
philippines,0.44369749923271273
decision,0.44369749923271273
fear,0.44369749923271273
minister,0.44369749923271273
wise,0.3979400086720376
pro,0.3979400086720376
hold,0.3979400086720376
bbcnews,0.3979400086720376
31,0.3979400086720376
spend,0.3979400086720376
recorded,0.3979400086720376
status,0.3979400086720376
sonumonika,0.3979400086720376
germany,0.3979400086720376
austria,0.3979400086720376
cancel,0.3979400086720376
surges,0.3979400086720376
tourism,0.3979400086720376
researchers,0.3979400086720376
believe,0.3979400086720376
adjust,0.3979400086720376
details,0.3979400086720376
nepal,0.3979400086720376
circular,0.3979400086720376
depa,0.3979400086720376
ment,0.3979400086720376
immigration,0.3979400086720376
tribhuwan,0.3979400086720376
arabnewspk,0.3979400086720376
unable,0.3979400086720376
losing,0.3979400086720376
arrived,0.3979400086720376
queue,0.3979400086720376
meet,0.3979400086720376
variant,0.36605992448540114
coming,0.3098039199714863
testing,0.3098039199714863
prevent,0.3098039199714863
unvaccinated,0.3098039199714863
scottmorrisonmp,0.30102999566398114
responsibility,0.30102999566398114
active,0.30102999566398114
zimbabwe,0.30102999566398114
al,0.30102999566398114
mohfwindia,0.30102999566398114
seriously,0.30102999566398114
break,0.30102999566398114
effective,0.30102999566398114
remains,0.30102999566398114
bans,0.30102999566398114
issued,0.30102999566398114
return,0.30102999566398114
afford,0.30102999566398114
plans,0.30102999566398114
resume,0.30102999566398114
dec,0.30102999566398114
prime,0.30102999566398114
friends,0.30102999566398114
countries,0.2907300390241692
south,0.2907300390241692
india,0.2745449433640509
isnt,0.22184874961635637
late,0.22184874961635637
meeting,0.22184874961635637
christmas,0.22184874961635637
thread,0.22184874961635637
remain,0.22184874961635637
tell,0.22184874961635637
lead,0.22184874961635637
growth,0.22184874961635637
2019,0.22184874961635637
zero,0.22184874961635637
flying,0.22184874961635637
europe,0.22184874961635637
african,0.22184874961635637
taking,0.22184874961635637
population,0.22184874961635637
border,0.22184874961635637
china,0.22184874961635637
pakistani,0.22184874961635637
pakistan,0.22184874961635637
age,0.22184874961635637
days,0.22184874961635637
urges,0.22184874961635637
netherlands,0.22184874961635637
hope,0.22184874961635637
maybe,0.22184874961635637
wont,0.22184874961635637
please,0.1938200260161128
due,0.1938200260161128
omnicron,0.1938200260161128
