,tfidf_score
moderna,3.872548999643579
variant,3.248781829807935
dangerous,3.1372724716820257
99,3.1372724716820257
poses,2.795880017344075
reformulated,2.7855800607042633
rises,2.614393726401688
current,2.408239965311849
evade,2.0969100130080562
overall,2.0969100130080562
emergency,2.0915149811213505
cycling,2.0915149811213505
transmissible,1.989700043360188
concern,1.989700043360188
ale,1.989700043360188
confirms,1.5917600346881504
updates,1.5917600346881504
elude,1.5917600346881504
heres,1.5686362358410129
israel,1.5686362358410129
detecting,1.5686362358410129
dollar,1.5686362358410129
globally,1.5686362358410129
ready,1.5529412473144946
2022,1.5529412473144946
concerns,1.5051499783199058
omicronvariant,1.4642396979416046
decepticon,1.3979400086720375
newly,1.3979400086720375
naturaldeposit,1.3979400086720375
beaten,1.3979400086720375
deceptive,1.3979400086720375
contagious,1.3979400086720375
covid19vaccines,1.3979400086720375
careful,1.3979400086720375
evaluation,1.3979400086720375
$vix,1.3979400086720375
sydney,1.3979400086720375
nsw,1.3979400086720375
adesina,1.3979400086720375
five,1.3979400086720375
modernatx,1.3979400086720375
modernanews,1.3979400086720375
cmo,1.3979400086720375
officer,1.3979400086720375
suspects,1.3979400086720375
edward,1.3979400086720375
argar,1.3979400086720375
tells,1.3979400086720375
bbcbreakfast,1.3979400086720375
expects,1.3979400086720375
2019ncov,1.3979400086720375
mutated,1.3979400086720375
nsttv,1.3979400086720375
screenings,1.3979400086720375
detect,1.3979400086720375
nucleocapsids,1.3979400086720375
nail,1.3979400086720375
stocksinfocus,1.3979400086720375
premarket,1.3979400086720375
globe,1.3979400086720375
strain,1.2598301691047333
increased,1.2041199826559246
spread,1.2041199826559246
live,1.2041199826559246
delta,1.2041199826559246
investing,1.193820026016113
worrying,1.193820026016113
deltavariant,1.193820026016113
narendramodi,1.193820026016113
confirmed,1.193820026016113
shot,1.1092437480817818
news,1.0843137199002022
risk,1.0660101430886204
transformer,1.0457574905606752
economictimes,1.0457574905606752
signs,1.0457574905606752
velumania,1.0457574905606752
triple,1.0457574905606752
infectious,1.0457574905606752
mutant,1.0457574905606752
mutation,1.0457574905606752
paul,1.0457574905606752
thinking,1.0457574905606752
6th,1.0457574905606752
championships,1.0457574905606752
kurukshetra,1.0457574905606752
haryana,1.0457574905606752
niroop,1.0457574905606752
mondaymotivation,1.0457574905606752
pcr,1.0457574905606752
capable,1.0457574905606752
modi,1.0457574905606752
httpstco4vyyq6whrz,1.0457574905606752
merriamwebster,1.0457574905606752
developments,1.0457574905606752
wto,1.0457574905606752
ministers,1.0457574905606752
geneva,1.0457574905606752
icularly,1.0457574905606752
112821,1.0457574905606752
trouble,1.0457574905606752
vaccine,0.960907301774178
variants,0.9294117599144589
australia,0.9294117599144589
sounds,0.9030899869919434
mutations,0.9030899869919434
deadly,0.9030899869919434
highly,0.9030899869919434
effects,0.9030899869919434
